x_coord;y_coord;spl_code;Plant_ID;ipen;match_name;ott_id;rank;wikidataID;unknown;UUID;Airtable
2578474.304;1182409.427;DBGI_SPL_000379;Cyclamen purpurascens Mill.;XX 0 FRIBG 10002824;Cyclamen purpurascens;477901;species;http://www.wikidata.org/entity/Q149344;;{de0cf96b-6254-4c2a-b0b9-2452f6b796d3};
2578465.342;1182411.243;DBGI_SPL_000390;Impatiens balsamina L.;XX 0 FRIBG 10000058;Impatiens balsamina;326129;species;http://www.wikidata.org/entity/Q845019;;{be16c04d-8ddd-4fa3-bbbe-acbbde834627};
2578473.929;1182409.807;DBGI_SPL_000391;Androsace sempervivoides Duby;XX 0 FRIBG 20180034;Androsace sempervivoides;1054537;species;;;{5040f014-5210-4978-a0d6-0ab5e7110889};
2578473.77;1182410.039;DBGI_SPL_000437;Aaunknown;;;0;;;primula acaulis selon panneau;{87285d58-890c-4c43-96f0-646dc021d477};
2578474.026;1182408.553;DBGI_SPL_000439;Erica terminalis Salisb.;XX 0 BHU G-1977-995;Helicia terminalis;5716319;species;;;{3f083952-bc1c-4b94-b011-0598717fa087};
2578473.64;1182409.552;DBGI_SPL_000440;Primula auricula L.;CH 0 FRIBG 20030856;Primula auricula;330059;species;http://www.wikidata.org/entity/Q164186;;{0955f297-834c-48b4-b674-c770fe850635};
2578469.628;1182410.515;DBGI_SPL_000441;Polemonium caeruleum L.;XX 0 FRIBG 10002892;Polemonium caeruleum;567407;species;;;{ff4a627a-df7a-4f3a-a487-52c89b3fee7d};
2578473.4;1182408.335;DBGI_SPL_000442;Aaunknown;;;0;;;arbutus unedo selon panneau;{114518f6-f4ea-4ea4-ad8f-399b6c2588cb};
2578466.753;1182411.248;DBGI_SPL_000457;Impatiens x new guinea;XX 0 FRIBG 20170486;x Astroworthia;220658;genus;;;{8ead1ebe-de3a-4eb7-bd26-1a1087c58121};
2578470.286;1182410.597;DBGI_SPL_000460;Phlox amplifolia Britton;XX 0 FRIBG 20120167;Phlox amplifolia;1012701;species;;;{7213dbf9-0ff2-4a0d-930a-4c32aa5f2187};
2578472.719;1182408.666;DBGI_SPL_000461;Aaunknown;;;0;;;Piéris selon écriteau;{3ad77ce9-3bb0-46f4-8155-ca6f2aac87f6};
2578469.323;1182409.731;DBGI_SPL_000470;Phlox drummondii Hook.;XX 0 FRIBG 20010620;Phlox drummondii;706216;species;http://www.wikidata.org/entity/Q164835;;{1ca477db-c3ab-4ce3-a861-3c89b635ff9d};
2578471.516;1182409.202;DBGI_SPL_000471;Vaccinium corymbosum L. 'Patriot';XX 0 FRIBG 20150320;Vaccinium corymbosum;567253;species;http://www.wikidata.org/entity/Q468695;;{9c738771-29bb-42b0-af7a-8564dc220de8};
2578469.196;1182410.172;DBGI_SPL_000474;Cobaea scandens Cav.;XX 0 FRIBG 10000940;Cobaea scandens;558456;species;;;{58680eeb-2fb7-4f69-b4d2-8d8e01ebce78};
2578467.081;1182410.887;DBGI_SPL_000475;Aaunknown;;;0;;;fleurs roses à violettes;{d99131bf-9e68-482c-b2af-e3a232dec2ba};
2578471.251;1182409.023;DBGI_SPL_000476;Gaultheria procumbens L.;XX 0 FRIBG 20150350;Gaultheria procumbens;643041;species;http://www.wikidata.org/entity/Q386770;;{c5d1fa19-88cf-47e8-9e72-3c5bd539058b};
2578472.775;1182409.989;DBGI_SPL_000477;Lysimachia punctata L.;XX 0 FRIBG 20160330;Lysimachia punctata;628234;species;http://www.wikidata.org/entity/Q158115;;{11f9f620-a02a-41d7-9e7e-e92485da6eec};
2578474.215;1182408.003;DBGI_SPL_000482;Erica vagans L.;XX 0 KL 2011/299;Eria vagans;3979143;species;;;{3ff317cc-cef2-452b-adc8-3843a149ef23};
2578471.877;1182410.272;DBGI_SPL_000483;Lysimachia clethroides Duby;XX 0 FRIBG 10001584;Lysimachia clethroides;411957;species;http://www.wikidata.org/entity/Q1070109;;{574093fe-f0c3-46ad-aca8-19a10739582c};
2578473.321;1182409.599;DBGI_SPL_000485;Primula veris L. subsp. veris;CH 0 FRIBG 20210305;Primula veris;596319;species;http://www.wikidata.org/entity/Q157552;;{77e9ce3d-c80d-4827-ba54-281b15129ed6};
